ID	Gene.symbol	Gene.title	log2(fold change)(TX vs NR)	-log10(Pvalue)(TX vs NR)
37062_at	GABRA2	gamma-aminobutyric acid type A receptor alpha2 subunit	0.455	1.862
37066_at	PRTN3	proteinase 3	-0.348	1.921
37068_at	PLA2G7	phospholipase A2 group VII	-0.622	2.751
37069_at	DGCR5	DiGeorge syndrome critical region gene 5 (non-protein coding)	-0.616	5.132
37070_at	MPZ	myelin protein zero	-0.897	9.753
37072_at	CNGB1	cyclic nucleotide gated channel beta 1	-1.487	4.166
37074_at	SNTB1	syntrophin beta 1	-0.749	2.808
37075_at	SNTB1	syntrophin beta 1	-0.657	2.407
37076_at	SLC2A4	solute carrier family 2 member 4	-0.695	4.434
37079_at	NUS1P3	NUS1 dehydrodolichyl diphosphate synthase subunit pseudogene 3	0.537	2.766
37080_at	LOC102724528///PIGC	uncharacterized LOC102724528///phosphatidylinositol glycan anchor biosynthesis class C	-0.786	1.728
37088_at	AURKC	aurora kinase C	-0.528	5.32
37089_at	ADAM3A	ADAM metallopeptidase domain 3A (pseudogene)	-0.452	1.961
37091_g_at	ADAM3A	ADAM metallopeptidase domain 3A (pseudogene)	-0.959	4.125
37094_at	XRCC3	X-ray repair cross complementing 3	-0.407	4.052
37095_r_at	FPR2	formyl peptide receptor 2	-0.623	2.823
37097_at	SLC17A1	solute carrier family 17 member 1	0.51	1.685
37101_at	BRMS1	breast cancer metastasis suppressor 1	-0.446	3.955
37105_at	CTSG	cathepsin G	-0.519	4.343
37106_at	ZNF354A	zinc finger protein 354A	0.336	2.132
37107_at	PPM1D	protein phosphatase, Mg2+/Mn2+ dependent 1D	0.657	3.146
37108_at	CSNK1A1	casein kinase 1 alpha 1	-0.584	3.977
37115_at	ZMYND8	zinc finger MYND-type containing 8	-0.537	1.716
37117_at	PRR5-ARHGAP8///ARHGAP8	PRR5-ARHGAP8 readthrough///Rho GTPase activating protein 8	0.324	2.352
37118_at	RFPL1S	RFPL1 antisense RNA 1	-0.448	2.186
37120_at	TKTL1	transketolase like 1	-0.619	2.256
37123_at	VILL	villin like	-0.473	3.998
37125_f_at	CYP3A43///CYP3A5	cytochrome P450 family 3 subfamily A member 43///cytochrome P450 family 3 subfamily A member 5	0.674	1.776
37135_f_at	GRIN1	glutamate ionotropic receptor NMDA type subunit 1	-0.466	2.191
37137_at	GZMB	granzyme B	-0.45	2.049
37140_s_at	EDA	ectodysplasin A	-0.682	1.904
37143_s_at	PFAS	phosphoribosylformylglycinamidine synthase	-0.412	1.772
37144_at	PIAS4	protein inhibitor of activated STAT 4	-0.868	4.391
37147_at	CLEC11A	C-type lectin domain family 11 member A	-0.383	2.453
37150_at	KLHL20	kelch like family member 20	0.682	3.055
37156_at	ETV1	ETS variant 1	0.54	1.668
37157_at	CALB2	calbindin 2	-0.583	2.839
37158_at	SAMD14	sterile alpha motif domain containing 14	-0.796	3.936
37160_at	SPRR1B	small proline rich protein 1B	-0.507	4.448
37161_at	RSL1D1	ribosomal L1 domain containing 1	1.056	6.916
37162_at	CCDC6	coiled-coil domain containing 6	0.679	4.068
37164_at	RHD	Rh blood group D antigen	-0.652	2.533
37165_f_at	RHD///RHCE	Rh blood group D antigen///Rh blood group CcEe antigens	-0.253	2.717
37170_at	BMP2K	BMP2 inducible kinase	1.356	4.363
37177_at	CD58	CD58 molecule	0.885	3.835
37178_at	SLC25A46	solute carrier family 25 member 46	1.457	6.373
37181_at	MPV17	MPV17, mitochondrial inner membrane protein	0.669	6.188
37183_at	GAD1	glutamate decarboxylase 1	0.342	1.897
37184_at	STX1A	syntaxin 1A	-0.509	2.508
37186_s_at	AOC1	amine oxidase, copper containing 1	1.902	3.279
37188_at	PCK2	phosphoenolpyruvate carboxykinase 2, mitochondrial	0.847	1.817
37190_at	WASF1	WAS protein family member 1	0.823	6.391
37192_at	DMTN	dematin actin binding protein	-0.37	3.903
37193_at	MIR3658///UCK2	microRNA 3658///uridine-cytidine kinase 2	-0.384	2.393
37195_at	CYP11A1	cytochrome P450 family 11 subfamily A member 1	-0.307	3.103
37196_at	CDH5	cadherin 5	0.531	2.479
37197_s_at	DYNC2LI1	dynein cytoplasmic 2 light intermediate chain 1	0.487	2.407
37199_at	DYNC2LI1	dynein cytoplasmic 2 light intermediate chain 1	0.441	2.285
371_at	IRF3	interferon regulatory factor 3	-0.331	3.384
37203_at	LOC100653086///LOC100653057///CES1P1///CES1	uncharacterized LOC100653086///liver carboxylesterase 1-like///carboxylesterase 1 pseudogene 1///carboxylesterase 1	-0.385	2.178
37204_at	ITIH3	inter-alpha-trypsin inhibitor heavy chain 3	-0.729	4.943
37207_at	SERPINA7	serpin family A member 7	-0.667	3.818
37211_at	BDH1	3-hydroxybutyrate dehydrogenase, type 1	0.361	2.367
37220_at	FCGR1CP///FCGR1B///FCGR1A	Fc fragment of IgG receptor Ic, pseudogene///Fc fragment of IgG receptor Ib///Fc fragment of IgG receptor Ia	-0.714	1.711
37221_at	PRKAR2B	protein kinase cAMP-dependent type II regulatory subunit beta	0.769	3.738
37223_at	SGCB	sarcoglycan beta	0.596	3.752
37225_at	KANK1	KN motif and ankyrin repeat domains 1	0.901	3.159
37228_at	PLK1	polo like kinase 1	-0.761	2.735
37229_at	ATR	ATR serine/threonine kinase	0.592	4.716
37231_at	DLGAP5	DLG associated protein 5	-0.38	2.065
37236_at	KNG1	kininogen 1	1.885	6.368
37238_s_at	PKMYT1	protein kinase, membrane associated tyrosine/threonine 1	-0.816	6.252
37239_r_at	PKMYT1	protein kinase, membrane associated tyrosine/threonine 1	-0.843	7.291
37242_at	FTO	fat mass and obesity associated	0.565	5.143
37244_at	UCHL3	ubiquitin C-terminal hydrolase L3	0.705	2.77
37245_at	GABPA	GA binding protein transcription factor alpha subunit	0.459	2.268
37246_at	ACD	adrenocortical dysplasia homolog	-0.57	5.365
37247_at	TCF21	transcription factor 21	0.712	2.895
37250_at	GJA9-MYCBP///MYCBP	GJA9-MYCBP readthrough///MYC binding protein	0.527	3.809
37252_at	SNAPC2	small nuclear RNA activating complex polypeptide 2	-0.404	2.861
37253_at	PIP5K1B	phosphatidylinositol-4-phosphate 5-kinase type 1 beta	0.737	4.172
37255_at	NDST2	N-deacetylase and N-sulfotransferase 2	-0.319	2.565
37257_at	PRUNE1	prune exopolyphosphatase	-0.521	3.548
37259_at	SERPINI1	serpin family I member 1	0.638	2.538
37261_g_at	ABCC9	ATP binding cassette subfamily C member 9	-0.525	2.131
37263_at	GGH	gamma-glutamyl hydrolase	0.951	4.562
37265_at	RIMS3	regulating synaptic membrane exocytosis 3	-0.239	1.951
37268_at	VEGFB	vascular endothelial growth factor B	0.373	2.604
37269_at	LZTR1	leucine zipper like transcription regulator 1	-0.945	4.933
37272_at	ITPKB	inositol-trisphosphate 3-kinase B	0.575	4.725
37273_at	ERBB4	erb-b2 receptor tyrosine kinase 4	1.031	5.5
37276_at	IQGAP2	IQ motif containing GTPase activating protein 2	0.874	3.477
37277_at	NAIP	NLR family apoptosis inhibitory protein	-0.425	1.935
37279_at	GEM	GTP binding protein overexpressed in skeletal muscle	0.543	1.919
37281_at	PIEZO1	piezo type mechanosensitive ion channel component 1	-0.401	1.838
37283_at	MN1	MN1 proto-oncogene, transcriptional regulator	-0.548	3.7
37285_at	ALAS2	5'-aminolevulinate synthase 2	-0.475	4.617
37288_g_at	NRCAM	neuronal cell adhesion molecule	-0.78	2.503
37291_r_at	SNCA	synuclein alpha	0.84	1.901
37296_at	ARL1	ADP ribosylation factor like GTPase 1	0.501	3.426
37301_at	PRKCB	protein kinase C beta	-0.603	3.656
37304_at	CBX1	chromobox 1	0.771	3.04
37309_at	RHOA	ras homolog family member A	0.555	2.742
37311_at	TALDO1	transaldolase 1	0.53	2.025
37312_at	SERTAD2	SERTA domain containing 2	0.401	1.931
37315_f_at	EAPP	E2F associated phosphoprotein	0.7	3.629
37317_at	PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1	-0.43	3.171
37318_at	ETF1	eukaryotic translation termination factor 1	1.236	3.493
37320_at	PTDSS1	phosphatidylserine synthase 1	0.376	2.555
37321_at	TTC1	tetratricopeptide repeat domain 1	-0.227	1.964
37323_r_at	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)	-0.599	5.931
37325_at	FDPS	farnesyl diphosphate synthase	0.814	4.138
37329_at	NDUFV1	NADH:ubiquinone oxidoreductase core subunit V1	0.515	2.849
37330_at	ALDH4A1	aldehyde dehydrogenase 4 family member A1	0.423	2.125
37332_r_at	ALDH4A1	aldehyde dehydrogenase 4 family member A1	-0.486	3.574
37333_at	DNMT1	DNA (cytosine-5-)-methyltransferase 1	-0.283	2.195
37334_at	HNRNPA0	heterogeneous nuclear ribonucleoprotein A0	0.551	2.269
37336_at	UBXN4	UBX domain protein 4	1.241	5.375
37338_at	PRPSAP1	phosphoribosyl pyrophosphate synthetase associated protein 1	0.496	2.465
37340_at	GGCX	gamma-glutamyl carboxylase	-0.411	2.571
37345_at	CALU	calumenin	0.637	1.671
37347_at	CKS1B	CDC28 protein kinase regulatory subunit 1B	0.362	2.192
37348_s_at	HMGN3	high mobility group nucleosomal binding domain 3	0.953	2.219
37350_at	PSMD10	proteasome 26S subunit, non-ATPase 10	0.88	5.137
37352_at	SP100	SP100 nuclear antigen	0.899	4.003
37353_g_at	SP100	SP100 nuclear antigen	0.359	2.985
37357_at	LOC101060817///LOC729080///GCSH	glycine cleavage system H protein, mitochondrial-like///glycine cleavage system protein H (aminomethyl carrier) pseudogene///glycine cleavage system protein H	1.461	3.48
37358_at	UBE2E1	ubiquitin conjugating enzyme E2 E1	0.917	3.233
37359_at	SPCS2	signal peptidase complex subunit 2	1.191	4.379
37363_at	MTSS1	metastasis suppressor 1	1.185	6.714
37364_at	PHB2	prohibitin 2	0.483	2.397
37366_at	PDLIM5	PDZ and LIM domain 5	0.44	1.894
37369_s_at	NFATC4	nuclear factor of activated T-cells 4	-0.388	2.957
37371_at	SMPD1	sphingomyelin phosphodiesterase 1	-0.547	4.492
37372_at	SMPD1	sphingomyelin phosphodiesterase 1	-0.599	5.185
37373_at	UGP2	UDP-glucose pyrophosphorylase 2	0.613	1.773
37374_at	ANXA4	annexin A4	0.963	2.075
37377_i_at	LMNA	lamin A/C	-0.34	1.667
37378_r_at	LMNA	lamin A/C	-0.801	4.727
37382_at	LOC101929876///LOC100996747///RPS26	40S ribosomal protein S26///40S ribosomal protein S26///ribosomal protein S26	-0.642	1.832
37385_at	PPIG	peptidylprolyl isomerase G	0.553	2.649
37389_at	C11orf58	chromosome 11 open reading frame 58	1.419	4.183
37391_at	CTSL	cathepsin L	0.77	2.655
37392_at	PHKB	phosphorylase kinase regulatory subunit beta	1.898	7.333
37396_at	RFXANK	regulatory factor X associated ankyrin containing protein	-0.713	2.938
373_at			-0.79	4.134
37404_at	RGS12	regulator of G-protein signaling 12	-0.532	5.839
37405_at	SELENBP1	selenium binding protein 1	0.951	3.065
37406_at	MAPRE2	microtubule associated protein RP/EB family member 2	0.385	1.876
37409_at	SRPK2	SRSF protein kinase 2	1.192	3.92
37412_at	PIP4K2A	phosphatidylinositol-5-phosphate 4-kinase type 2 alpha	-1.026	4.709
37415_at	ATP10B	ATPase phospholipid transporting 10B (putative)	-0.34	1.951
37417_at	POU2F2	POU class 2 homeobox 2	-0.588	4.307
37419_g_at	POU2F2	POU class 2 homeobox 2	-0.414	3.822
37420_i_at	HLA-F	major histocompatibility complex, class I, F	0.834	1.82
37422_at	PPIC	peptidylprolyl isomerase C	0.6	2.586
37423_at	SLC12A2	solute carrier family 12 member 2	-0.537	2.605
37426_at	TOX3	TOX high mobility group box family member 3	1.212	4.163
37427_at	NTNG1	netrin G1	-0.548	4.324
37429_g_at	NTNG1	netrin G1	-0.498	2.223
37430_at	ALOX15B	arachidonate 15-lipoxygenase, type B	-0.443	3.195
37432_g_at	PIAS2	protein inhibitor of activated STAT 2	-0.368	2.537
37442_at	DKFZP586I1420	uncharacterized protein DKFZp586I1420	0.767	3.531
37443_at	TRMU	tRNA 5-methylaminomethyl-2-thiouridylate methyltransferase	-0.404	2.018
37444_at	PARD6A	par-6 family cell polarity regulator alpha	-0.344	1.807
37445_at	TMEM5	transmembrane protein 5	0.517	2.049
37446_at	GPRASP1	G protein-coupled receptor associated sorting protein 1	0.334	2.182
37448_s_at	GNAS	GNAS complex locus	0.858	2.848
37449_i_at	GNAS	GNAS complex locus	1.07	3.873
37450_r_at	GNAS	GNAS complex locus	0.755	2.84
37453_at	CLPX	caseinolytic mitochondrial matrix peptidase chaperone subunit	1.029	4.079
37454_at	CCL13	C-C motif chemokine ligand 13	-0.68	2.196
37455_at	CXCR5	C-X-C motif chemokine receptor 5	-0.424	3.781
37457_at	LRRTM2	leucine rich repeat transmembrane neuronal 2	-0.638	2.159
37458_at	CDC45	cell division cycle 45	-0.338	3.48
37460_at	TIAM1	T-cell lymphoma invasion and metastasis 1	-0.585	5.102
37461_at	ANGPT2	angiopoietin 2	-0.541	3.643
37463_r_at	SF3A2	splicing factor 3a subunit 2	-1.02	5.708
37464_at	PEX13	peroxisomal biogenesis factor 13	0.784	5.279
37465_at	TPPP	tubulin polymerization promoting protein	-0.397	2.675
37466_at	RAB29	RAB29, member RAS oncogene family	1.667	3.802
37470_at	LAIR1	leukocyte associated immunoglobulin like receptor 1	-0.337	2.697
37478_at	SCGN	secretagogin, EF-hand calcium binding protein	-0.694	8.058
37480_at	THPO	thrombopoietin	-0.432	1.975
37484_at	ITGA1	integrin subunit alpha 1	0.74	5.706
37486_f_at	MEIS3P1	Meis homeobox 3 pseudogene 1	-0.498	1.878
37487_at	TNRC6B	trinucleotide repeat containing 6B	0.473	4.088
37489_s_at	SLC4A3	solute carrier family 4 member 3	-0.413	2.585
37490_at	SLC4A3	solute carrier family 4 member 3	-0.298	2.399
37491_at	TAF1	TATA-box binding protein associated factor 1	0.529	4.606
37492_at	CLMN	calmin	0.564	4.169
37494_at	CSF2RB	colony stimulating factor 2 receptor beta common subunit	-0.557	6.245
37496_at	ABCB8	ATP binding cassette subfamily B member 8	-0.387	2.316
37498_at	KCNG1	potassium voltage-gated channel modifier subfamily G member 1	-0.278	2.171
37502_at	SMC2	structural maintenance of chromosomes 2	-0.824	5.285
37503_at	TBC1D30	TBC1 domain family member 30	-0.521	3.282
37506_at	PRPF40A	pre-mRNA processing factor 40 homolog A	1.861	11.676
37507_i_at	PRPF40A	pre-mRNA processing factor 40 homolog A	0.947	5.634
37508_f_at	PRPF40A	pre-mRNA processing factor 40 homolog A	1.785	9.96
37509_at	CRLF3	cytokine receptor like factor 3	0.845	2.223
37511_at	B9D1	B9 domain containing 1	-0.659	3.206
37517_at	RAP1GAP2	RAP1 GTPase activating protein 2	-0.242	1.846
37519_at	ASGR1	asialoglycoprotein receptor 1	-0.591	2.831
37520_at	ZNF330	zinc finger protein 330	0.877	3.144
37521_s_at	ZNF330	zinc finger protein 330	-0.428	1.897
37525_at	EPPIN-WFDC6///EPPIN	EPPIN-WFDC6 readthrough///epididymal peptidase inhibitor	-0.395	2.2
37526_at	VNN1	vanin 1	-0.426	2.689
37534_at	CXADR	coxsackie virus and adenovirus receptor	0.799	3.3
37535_at	CREB1	cAMP responsive element binding protein 1	1.675	4.694
37538_at	LOC730101	uncharacterized LOC730101	-0.482	2.988
37539_at	RGL1	ral guanine nucleotide dissociation stimulator like 1	0.868	5.631
37540_at	MYOM2	myomesin 2	-0.453	2.518
37541_at	SELPLG	selectin P ligand	-0.353	1.692
37546_r_at	SCAMP5	secretory carrier membrane protein 5	-0.966	2.848
37547_at	BBS9	Bardet-Biedl syndrome 9	0.405	1.741
37549_g_at	BBS9	Bardet-Biedl syndrome 9	0.389	3.329
37554_at	KLK6	kallikrein related peptidase 6	-0.464	1.998
37555_at	PWP2	PWP2 periodic tryptophan protein homolog (yeast)	0.263	2.828
37560_at	SNED1	sushi, nidogen and EGF like domains 1	-0.304	1.725
37566_at	PHF24	PHD finger protein 24	-0.871	2.581
37569_at	PDCD6	programmed cell death 6	0.908	5.524
37570_at	ARL2-SNX15///SNX15	ARL2-SNX15 readthrough (NMD candidate)///sorting nexin 15	-0.429	1.917
37572_at	CCK	cholecystokinin	-0.467	2.871
37573_at	ANGPTL2	angiopoietin like 2	-0.593	2.913
37575_at	ATF2	activating transcription factor 2	1.863	7.006
37581_at	PPP6C	protein phosphatase 6 catalytic subunit	0.552	3.222
37582_at	KRT15	keratin 15	-0.319	1.682
37588_s_at	MAPK8IP2	mitogen-activated protein kinase 8 interacting protein 2	-0.467	2.731
37589_at			0.35	2.072
37591_at	UCP2	uncoupling protein 2	0.476	1.715
37593_at	PCCA	propionyl-CoA carboxylase alpha subunit	0.753	2.144
37596_at	PLCD1	phospholipase C delta 1	-0.417	3.933
37601_at	SLC22A3	solute carrier family 22 member 3	-0.392	2.312
37604_at	HNMT	histamine N-methyltransferase	0.739	2.389
37605_at	COL2A1	collagen type II alpha 1 chain	-0.385	3.296
37606_at	KHK	ketohexokinase	0.253	2.213
37608_g_at	KHK	ketohexokinase	1.248	4.195
37609_at	NUBP1	nucleotide binding protein 1	0.277	3.1
37611_at	TNFRSF11B	TNF receptor superfamily member 11b	1.131	3.238
37615_at	GRB10	growth factor receptor bound protein 10	0.958	6.054
37616_at	AUH	AU RNA binding methylglutaconyl-CoA hydratase	1.19	4.819
37617_at	CCSER2	coiled-coil serine rich protein 2	0.757	3.305
37619_at	METAP1	methionyl aminopeptidase 1	0.842	7.336
37622_r_at	PSIP1	PC4 and SFRS1 interacting protein 1	0.866	2.959
37625_at	IRF4	interferon regulatory factor 4	-0.54	4.726
37628_at	MAOB	monoamine oxidase B	1.101	7.667
37633_s_at	PAEP	progestagen associated endometrial protein	-0.553	4.921
37634_at	PAEP	progestagen associated endometrial protein	-0.651	4.04
37635_at	TCHH	trichohyalin	-0.375	1.796
37639_at	HPN	hepsin	0.833	2.791
37640_at	HPRT1	hypoxanthine phosphoribosyltransferase 1	0.808	3.883
37644_s_at	FAS	Fas cell surface death receptor	-0.82	2.777
37648_at	TTLL12	tubulin tyrosine ligase like 12	-0.464	2.919
37649_at	HMBS	hydroxymethylbilane synthase	-0.507	2.56
37650_at	MKRN1	makorin ring finger protein 1	0.576	3.723
37652_at	CABIN1	calcineurin binding protein 1	-0.552	3.493
37654_at	SNX17	sorting nexin 17	0.503	3.226
37655_at	GOLGB1	golgin B1	0.333	2.595
37659_at	IMMT	inner membrane mitochondrial protein	1.438	6.31
37660_at	SPAG8	sperm associated antigen 8	-0.772	6.416
37661_at	ATP2B1	ATPase plasma membrane Ca2+ transporting 1	0.74	2.03
37662_at	UBE2G1	ubiquitin conjugating enzyme E2 G1	0.442	2.81
37665_at	EIF2B1	eukaryotic translation initiation factor 2B subunit alpha	-0.779	2.603
37667_at	UROD	uroporphyrinogen decarboxylase	0.792	4.194
37668_at	C1QBP	complement C1q binding protein	0.923	4.321
37670_at	ANXA7	annexin A7	1.182	4.36
37672_at	USP7	ubiquitin specific peptidase 7	0.845	7.333
37676_at	PDE8A	phosphodiesterase 8A	0.891	7.093
37677_at	PGK1	phosphoglycerate kinase 1	0.739	1.758
37678_at	BAMBI	BMP and activin membrane bound inhibitor	0.981	6.528
37680_at	AKAP12	A-kinase anchoring protein 12	0.854	1.717
37681_i_at	SNHG4///MATR3	small nucleolar RNA host gene 4///matrin 3	0.585	2.487
37685_at	PICALM	phosphatidylinositol binding clathrin assembly protein	1.148	3.385
37686_s_at	UNG	uracil DNA glycosylase	0.622	2.193
37687_i_at	FCGR2C///FCGR2A	Fc fragment of IgG receptor IIc (gene/pseudogene)///Fc fragment of IgG receptor IIa	-0.509	4.032
37689_s_at	FCGR2A	Fc fragment of IgG receptor IIa	-0.237	1.677
37691_at	MEF2B///BORCS8///BORCS8-MEF2B	myocyte enhancer factor 2B///BLOC-1 related complex subunit 8///BORCS8-MEF2B readthrough	-0.252	1.942
37693_at	LOC101930388///LOC101928143///NUMB	uncharacterized LOC101930388///uncharacterized LOC101928143///NUMB, endocytic adaptor protein	1.158	2.886
37694_at	PHF3	PHD finger protein 3	1.649	6.549
37695_at	RNF144A	ring finger protein 144A	0.432	2.706
37696_at	VDAC2	voltage dependent anion channel 2	0.976	5.49
37700_at	BLMH	bleomycin hydrolase	-0.666	2.682
37702_at	CUL3	cullin 3	-0.634	3.082
37703_at	SNORD45C///SNORD45A///SNORD45B///RABGGTB	small nucleolar RNA, C/D box 45C///small nucleolar RNA, C/D box 45A///small nucleolar RNA, C/D box 45B///Rab geranylgeranyltransferase beta subunit	1.02	7.077
37704_at	BCKDHA	branched chain keto acid dehydrogenase E1, alpha polypeptide	-0.258	1.691
37707_i_at	ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide	1.639	6.448
37708_r_at	ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide	1.551	6.332
37709_at	PUDP	pseudouridine 5'-phosphatase	0.295	2.168
37710_at	MEF2C	myocyte enhancer factor 2C	0.619	3.205
37716_at	CD200	CD200 molecule	0.323	1.943
37717_at	HNRNPM	heterogeneous nuclear ribonucleoprotein M	0.554	2.307
37718_at	SNRK	SNF related kinase	0.79	2.177
37719_at	MLF2	myeloid leukemia factor 2	0.598	5.627
37723_at	CCNG2	cyclin G2	0.595	2.369
37725_at	PPP1CC	protein phosphatase 1 catalytic subunit gamma	0.562	3.167
37726_at	MRPL3	mitochondrial ribosomal protein L3	0.597	1.923
37727_i_at	RCN2	reticulocalbin 2	0.916	2.294
37729_at	XPO1	exportin 1	1.014	3.586
37731_at	EPS15	epidermal growth factor receptor pathway substrate 15	1.407	7.668
37732_at	RYBP	RING1 and YY1 binding protein	1.211	2.073
37736_at	PCMT1	protein-L-isoaspartate (D-aspartate) O-methyltransferase	0.964	4.163
37738_g_at	PCMT1	protein-L-isoaspartate (D-aspartate) O-methyltransferase	0.676	1.915
37741_at	PYCR1	pyrroline-5-carboxylate reductase 1	-0.468	3.321
37744_r_at	FEZ1	fasciculation and elongation protein zeta 1	-0.667	3.562
37747_at	ANXA5	annexin A5	1.047	3.803
37748_at	KIAA0232	KIAA0232	0.678	5.209
37750_at	UBE2V2	ubiquitin conjugating enzyme E2 V2	1.033	4.165
37751_at	TM9SF4	transmembrane 9 superfamily member 4	0.615	4.409
37752_at	EIF4E	eukaryotic translation initiation factor 4E	0.598	2.003
37753_at	SMARCD1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1	-0.2	2.186
37755_at	BTBD3	BTB domain containing 3	1.078	5.448
37756_at	RYK	receptor-like tyrosine kinase	1.133	5.702
37760_at	BAIAP2	BAI1 associated protein 2	0.553	2.676
37762_at	EMP1	epithelial membrane protein 1	-0.619	1.993
37764_at	HLCS	holocarboxylase synthetase	-0.598	3.347
37765_at	LMOD1	leiomodin 1	-0.767	7.241
37766_s_at	PSMC5	proteasome 26S subunit, ATPase 5	0.796	2.36
37767_at	HTT	huntingtin	-0.556	4.623
37770_at	TAF2	TATA-box binding protein associated factor 2	0.829	3.07
37771_at	TAOK2	TAO kinase 2	-0.391	4.181
