ID	Gene.symbol	Gene.title	log2(fold change)(AR vs Control)	-log10(Pvalue)(AR vs Control)
41271_at	SLC7A8	solute carrier family 7 member 8	-1.165	5.821
41285_at	INPP5A	inositol polyphosphate-5-phosphatase A	-0.412	2.151
41292_at	HNRNPH1	heterogeneous nuclear ribonucleoprotein H1 (H)	0.636	2.55
41296_s_at			-0.386	2.678
41304_at	NRP2	neuropilin 2	-0.465	2.469
41305_at	SLC5A2	solute carrier family 5 member 2	-0.367	2.623
41307_at	LINC01481	long intergenic non-protein coding RNA 1481	-0.556	4.64
41315_at	SAFB	scaffold attachment factor B	-0.298	2.509
41316_s_at	SAFB	scaffold attachment factor B	0.393	2.331
41318_g_at	RAP2A	RAP2A, member of RAS oncogene family	0.493	4.673
41329_at	SCYL3	SCY1 like pseudokinase 3	0.368	2.742
41333_at	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	0.71	2.224
41334_r_at	MTDH	metadherin	-1.081	2.815
41335_at	NSL1	NSL1, MIS12 kinetochore complex component	0.622	2.102
41338_at	AES	amino-terminal enhancer of split	0.758	2.367
41340_at	SEMA7A	semaphorin 7A (John Milton Hagen blood group)	-0.602	1.911
41341_at	SEMA7A	semaphorin 7A (John Milton Hagen blood group)	-0.509	2.321
41343_at	CDS2	CDP-diacylglycerol synthase 2	0.271	1.94
41345_at	PURA	purine rich element binding protein A	-0.242	2.105
41349_at	PSEN2	presenilin 2	0.34	2.669
41350_at	COL6A1	collagen type VI alpha 1 chain	-0.385	2.791
41354_at	STC1	stanniocalcin 1	-0.78	2.81
41358_at	CNNM2	cyclin and CBS domain divalent metal cation transport mediator 2	-0.259	2.047
41368_at	SLC13A3	solute carrier family 13 member 3	-1.572	5.05
41376_i_at	UGT2B7	UDP glucuronosyltransferase family 2 member B7	-2.588	4.112
41377_f_at	UGT2B7	UDP glucuronosyltransferase family 2 member B7	-2.339	3.415
41379_at	SMC5	structural maintenance of chromosomes 5	0.547	3.224
41380_at	DPH2	DPH2 homolog	0.384	3.247
41382_at	DMBT1	deleted in malignant brain tumors 1	-0.339	1.871
41394_at	PLD2	phospholipase D2	-0.248	2.324
41395_at	CHST1	carbohydrate sulfotransferase 1	-0.276	2.023
41399_at	PHF8	PHD finger protein 8	-0.45	2.904
41400_at	TK1	thymidine kinase 1	-0.407	2.645
41403_at	SNRPF	small nuclear ribonucleoprotein polypeptide F	0.636	2.5
41404_at	RPS6KA4	ribosomal protein S6 kinase A4	-0.532	6.404
41405_at	SFRP4	secreted frizzled related protein 4	-0.426	2.051
41407_at	MIR1236///NELFE	microRNA 1236///negative elongation factor complex member E	0.539	2.512
41409_at	THEMIS2	thymocyte selection associated family member 2	0.688	5.737
41412_at	CSDC2	cold shock domain containing C2	-0.648	6.987
41418_at	ADGRL1	adhesion G protein-coupled receptor L1	-0.197	2.088
41420_at	IGFBP5	insulin like growth factor binding protein 5	-0.466	2.235
41421_at	CAMTA2	calmodulin binding transcription activator 2	0.386	1.862
41422_at	DPYS	dihydropyrimidinase	-1.815	6.044
41425_at	FLI1	Fli-1 proto-oncogene, ETS transcription factor	0.873	5.214
41432_at	RPS6KA5	ribosomal protein S6 kinase A5	0.48	1.895
41433_at	VCAM1	vascular cell adhesion molecule 1	1.608	3.215
41435_at	PPFIA3	PTPRF interacting protein alpha 3	-0.251	1.974
41436_at	ZMYM2	zinc finger MYM-type containing 2	0.731	2.945
41445_at	TGFB1	transforming growth factor beta 1	-0.398	3.911
41446_f_at	MT1P3///MT1M///MT1G///MT1F	metallothionein 1 pseudogene 3///metallothionein 1M///metallothionein 1G///metallothionein 1F	-1.213	4.892
41456_at	GATB	glutamyl-tRNA amidotransferase subunit B	-0.238	2.192
41461_at	PMS1	PMS1 homolog 1, mismatch repair system component	0.421	3.23
41462_at	SNX2	sorting nexin 2	0.603	1.904
41463_at	C1orf216	chromosome 1 open reading frame 216	0.35	2.96
41464_at	SETD1A	SET domain containing 1A	-0.589	4.117
41467_at	MSH5-SAPCD1///SAPCD1///MSH5	MSH5-SAPCD1 readthrough (NMD candidate)///suppressor APC domain containing 1///mutS homolog 5	-0.307	2.139
41468_at	TARP///TRGV9///TRGC2	TCR gamma alternate reading frame protein///T cell receptor gamma variable 9///T cell receptor gamma constant 2	0.646	4.719
41470_at	PROM1	prominin 1	1.32	3.395
41471_at	S100A9	S100 calcium binding protein A9	1.12	2.049
41472_at	APOBEC3G	apolipoprotein B mRNA editing enzyme catalytic subunit 3G	1.052	7.728
41473_at	EPHX2	epoxide hydrolase 2	-1.082	3.487
41474_at	KIF2A	kinesin family member 2A	0.586	4.967
41480_at	RAD51C	RAD51 paralog C	-0.661	2.98
41484_r_at	JUND	JunD proto-oncogene, AP-1 transcription factor subunit	-0.343	2.726
41485_at	LDHA	lactate dehydrogenase A	0.758	2.888
41486_at	RASSF8	Ras association domain family member 8	-0.624	3.138
41489_at	TLE1	transducin like enhancer of split 1	0.407	2.008
41492_r_at	ATP11A	ATPase phospholipid transporting 11A	-0.458	2.311
41497_at	CDKN2D	cyclin dependent kinase inhibitor 2D	-0.666	4.67
41501_at	HIPK3	homeodomain interacting protein kinase 3	-0.327	3.778
41502_at	HIPK3	homeodomain interacting protein kinase 3	0.277	1.859
41505_r_at	MAF	MAF bZIP transcription factor	-0.813	2.644
41511_at	CIITA	class II major histocompatibility complex transactivator	0.472	2.961
41514_s_at	MRPL9	mitochondrial ribosomal protein L9	0.207	1.949
41515_at	RBBP7	RB binding protein 7, chromatin remodeling factor	-0.341	2.506
41518_at			-0.449	2.329
41520_at	PPP1R37	protein phosphatase 1 regulatory subunit 37	0.353	2.014
41523_at	RAB32	RAB32, member RAS oncogene family	0.488	2.49
41524_at	INPP1	inositol polyphosphate-1-phosphatase	0.627	4.34
41528_at	FAM168B	family with sequence similarity 168 member B	-0.571	4.828
41530_at	ACAA2	acetyl-CoA acyltransferase 2	-0.852	2.281
41532_at	ZBTB17	zinc finger and BTB domain containing 17	0.385	2.474
41533_at	FAM110B	family with sequence similarity 110 member B	-0.577	4.411
41535_at	CDK2AP1	cyclin dependent kinase 2 associated protein 1	0.859	2.28
41537_r_at	NFIX	nuclear factor I X	-0.603	2.074
41540_at	PPP1R7	protein phosphatase 1 regulatory subunit 7	0.304	2.648
41547_at	BUB3	BUB3, mitotic checkpoint protein	0.625	3.33
41549_s_at	AP1S2	adaptor related protein complex 1 sigma 2 subunit	0.808	2.879
41551_at	RER1	retention in endoplasmic reticulum sorting receptor 1	0.744	6.365
41552_g_at	RER1	retention in endoplasmic reticulum sorting receptor 1	0.497	3.803
41553_at	OSGIN2	oxidative stress induced growth inhibitor family member 2	-0.35	1.942
41560_at	PDCD2	programmed cell death 2	-0.749	4.373
41561_s_at	IFT20	intraflagellar transport 20	0.373	2.65
41567_at	TCF15	transcription factor 15 (basic helix-loop-helix)	-0.312	2.351
41569_at	DNAJC9	DnaJ heat shock protein family (Hsp40) member C9	0.31	2.758
41573_at	SP3	Sp3 transcription factor	0.895	3.405
41576_at			-0.411	2.953
41580_at	ARMCX4	armadillo repeat containing, X-linked 4	-0.541	3.057
41583_at	FEN1	flap structure-specific endonuclease 1	0.312	2.698
41585_at	SEL1L3	SEL1L family member 3	1.209	6.813
41588_at	FGF18	fibroblast growth factor 18	-0.596	2.589
41597_s_at	LOC102724364///LOC100996517///SEC22B	vesicle-trafficking protein SEC22b-like///vesicle-trafficking protein SEC22b///SEC22 homolog B, vesicle trafficking protein (gene/pseudogene)	0.533	2.254
415_at	CRKL	CRK like proto-oncogene, adaptor protein	-0.316	2.354
41601_at	ADAM17	ADAM metallopeptidase domain 17	0.463	2.229
41605_at	RALGAPB	Ral GTPase activating protein non-catalytic beta subunit	-0.597	4.477
41608_at	CRHBP	corticotropin releasing hormone binding protein	-0.574	3.596
41609_at	HLA-DMB	major histocompatibility complex, class II, DM beta	1.299	5.759
41611_at	TRIP4	thyroid hormone receptor interactor 4	-0.516	2.332
41617_at	HBE1	hemoglobin subunit epsilon 1	-0.48	2.544
41620_at	DOCK4	dedicator of cytokinesis 4	0.666	2.046
41624_r_at	FZR1	fizzy/cell division cycle 20 related 1	-0.71	3.474
41625_at	MED13	mediator complex subunit 13	0.574	2.179
41632_at	E2F3	E2F transcription factor 3	1.329	3.199
41635_at	WTAP	Wilms tumor 1 associated protein	1.234	5.073
41638_at	PPWD1	peptidylprolyl isomerase domain and WD repeat containing 1	0.901	3.462
41640_at	YIPF1	Yip1 domain family member 1	0.492	3.251
41642_at	LOC102725134	uncharacterized LOC102725134	0.501	2.144
41646_at	TAOK3	TAO kinase 3	0.51	2.526
41649_at	FOXJ2	forkhead box J2	0.541	4.643
41651_at	KIAA1033	KIAA1033	0.665	4.028
41671_at	EML1	echinoderm microtubule associated protein like 1	-0.778	2.545
41680_at	TTC39A	tetratricopeptide repeat domain 39A	-0.454	2.118
41682_s_at	BCKDHB	branched chain keto acid dehydrogenase E1 subunit beta	-0.339	1.965
41689_at	PLLP	plasmolipin	-0.442	3.089
41692_at	SYNJ1	synaptojanin 1	0.952	3.503
41695_at	ZBTB43	zinc finger and BTB domain containing 43	-0.471	3.016
41697_at	ACOX3	acyl-CoA oxidase 3, pristanoyl	-0.47	2.207
41698_at	SLC9A8	solute carrier family 9 member A8	0.615	3.913
41701_at	C6	complement component 6	-0.561	2.181
41703_r_at			-0.728	7.489
41707_at	SARM1	sterile alpha and TIR motif containing 1	-0.3	1.921
41710_at	GSAP	gamma-secretase activating protein	1.048	6.13
41711_at	TXNRD2	thioredoxin reductase 2	0.211	1.865
41716_at	DMXL2	Dmx like 2	0.733	2.391
41718_g_at	MIR1908///FADS1	microRNA 1908///fatty acid desaturase 1	-0.318	2.395
41720_r_at	MIR1908///FADS1	microRNA 1908///fatty acid desaturase 1	-0.399	3.041
41723_s_at	LOC101060835///LOC100996809///HLA-DRB6///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1///HLA-DQB1	HLA class II histocompatibility antigen, DQ beta 1 chain-like///HLA class II histocompatibility antigen, DRB1-10 beta chain-like///major histocompatibility complex, class II, DR beta 6 (pseudogene)///major histocompatibility complex, class II, DR beta 5///major histocompatibility complex, class II, DR beta 4///major histocompatibility complex, class II, DR beta 3///major histocompatibility complex, class II, DR beta 1///major histocompatibility complex, class II, DQ beta 1	2.627	8.12
41724_at	BCAP31	B-cell receptor-associated protein 31	0.459	2.079
41729_at	ARIH1	ariadne RBR E3 ubiquitin protein ligase 1	0.325	3.166
41731_g_at	MYL3	myosin light chain 3	-0.536	5.017
41732_at	BOLA2	bolA family member 2	0.415	3.003
41734_at	DENND3	DENN domain containing 3	0.711	2.107
41741_at	RBM3	RNA binding motif (RNP1, RRM) protein 3	1.233	4.751
41745_at	IFITM3	interferon induced transmembrane protein 3	1.288	4.81
41746_at	SNU13	SNU13 homolog, small nuclear ribonucleoprotein (U4/U6.U5)	0.417	3.772
41749_at	C21orf33	chromosome 21 open reading frame 33	-0.862	4.476
41750_at	PDIA6	protein disulfide isomerase family A member 6	-0.525	2.159
41759_at	SKP1	S-phase kinase-associated protein 1	-0.402	3.014
41762_at	TIAL1	TIA1 cytotoxic granule-associated RNA binding protein-like 1	-0.465	2.067
41764_at	APOC1	apolipoprotein C1	1.519	7.421
41768_at	PRKAR1A	protein kinase cAMP-dependent type I regulatory subunit alpha	0.527	2.145
41770_at	MAOA	monoamine oxidase A	-0.568	2.067
41772_at	MAOA	monoamine oxidase A	-1.004	3.21
41778_at	SLC1A5	solute carrier family 1 member 5	-0.256	2.327
41781_at	PPFIA1	PTPRF interacting protein alpha 1	-0.491	2.627
41783_at	CRABP2	cellular retinoic acid binding protein 2	-0.258	2.429
41784_at	PNISR	PNN interacting serine and arginine rich protein	0.659	2.718
41790_at	ALDH5A1	aldehyde dehydrogenase 5 family member A1	-0.646	2.713
41795_at	NCK1	NCK adaptor protein 1	0.446	2.294
41796_at	PLCL2	phospholipase C like 2	0.277	2.224
41798_at	SMPD2	sphingomyelin phosphodiesterase 2	-0.31	2.318
41809_at	TMEM243	transmembrane protein 243	0.405	1.883
41817_g_at	CARD10	caspase recruitment domain family member 10	0.331	2.514
41819_at	FYB	FYN binding protein	2.236	5.113
41822_at	ZNF324	zinc finger protein 324	-0.69	6.355
41824_at	UTP18	UTP18, small subunit processome component	0.402	2.848
41826_at	FAM234B	family with sequence similarity 234 member B	-0.441	3.796
41827_f_at	GUSBP11	glucuronidase, beta pseudogene 11	2.854	3.724
41829_at	LARP1	La ribonucleoprotein domain family member 1	-0.32	2.735
41832_s_at	JTB	jumping translocation breakpoint	-0.552	2.823
41834_g_at	JTB	jumping translocation breakpoint	0.492	3.858
41842_at			-0.276	2.663
41844_at	YIPF4	Yip1 domain family member 4	-0.43	6.462
41845_at	CRX	cone-rod homeobox	-0.316	2.107
41847_at	FCMR	Fc fragment of IgM receptor	0.231	1.851
41855_at	HAT1	histone acetyltransferase 1	1.014	3.946
41857_r_at	ABHD3	abhydrolase domain containing 3	1.106	2.18
41859_at	UST	uronyl 2-sulfotransferase	-0.543	2.987
41863_at	RALYL	RALY RNA binding protein-like	-0.42	2.775
41873_at	FAM131B	family with sequence similarity 131 member B	-0.302	2.21
423_at	EWSR1	EWS RNA binding protein 1	0.407	2.898
425_at	IFI27	interferon alpha inducible protein 27	0.634	2.822
428_s_at	B2M	beta-2-microglobulin	1.011	2.95
430_at	PNP	purine nucleoside phosphorylase	-0.533	1.932
431_at	CXCL10	C-X-C motif chemokine ligand 10	1.059	2.639
432_s_at	TRAC///TRAJ17///TRAV20///TRDV2///YME1L1	T-cell receptor alpha constant///T cell receptor alpha joining 17///T cell receptor alpha variable 20///T cell receptor delta variable 2///YME1 like 1 ATPase	1.425	3.608
438_at	PRKACA	protein kinase cAMP-activated catalytic subunit alpha	-0.562	3.933
443_at	HOXD4	homeobox D4	-0.379	4.152
444_g_at	HOXD4	homeobox D4	-0.419	3.273
454_at	SMARCD1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1	-0.853	5.845
456_at	SMARCD3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3	0.404	2.541
457_s_at	SUMO1	small ubiquitin-like modifier 1	-0.379	3.907
458_at	CCR6	C-C motif chemokine receptor 6	-0.75	2.643
463_g_at	NFIB	nuclear factor I B	-0.335	4.2
464_s_at	IFI35	interferon induced protein 35	0.41	2.58
467_at	OSTF1	osteoclast stimulating factor 1	0.282	2.397
469_at	EFNB3	ephrin B3	0.321	1.982
479_at	LOC101926921///DAB2	uncharacterized LOC101926921///DAB2, clathrin adaptor protein	-0.782	2.181
486_at	CASP9	caspase 9	0.342	2.25
497_at	CLN3	CLN3, battenin	-0.241	1.986
498_at	TAX1BP1	Tax1 binding protein 1	0.497	2.941
499_at	MAD1L1	MAD1 mitotic arrest deficient like 1	-0.439	3.225
500_at	CYP2J2	cytochrome P450 family 2 subfamily J member 2	-0.351	2.28
505_at	CDC37	cell division cycle 37	0.632	4.686
507_s_at	ELF2	E74 like ETS transcription factor 2	0.535	4.665
513_at	MAP2K5	mitogen-activated protein kinase kinase 5	-0.292	2.454
514_at	CBLB	Cbl proto-oncogene B	0.369	2.403
517_at	FBXW4P1	F-box and WD repeat domain containing 4 pseudogene 1	0.821	2.222
522_s_at	FOLR3	folate receptor 3	-0.337	1.872
525_g_at	PMS1	PMS1 homolog 1, mismatch repair system component	0.774	6.036
532_at	PTH1R	parathyroid hormone 1 receptor	-0.878	2.43
534_s_at	FOLR1	folate receptor 1	-0.584	3.652
539_at	RYK	receptor-like tyrosine kinase	0.283	2.056
541_g_at	HSPB2	heat shock protein family B (small) member 2	-0.381	1.845
552_at	ARHGAP1	Rho GTPase activating protein 1	-0.28	2.668
553_g_at	ARHGAP1	Rho GTPase activating protein 1	0.877	6.998
555_at	RAB40B	RAB40B, member RAS oncogene family	-0.67	1.889
571_at	NAP1L1	nucleosome assembly protein 1 like 1	1.315	5.692
573_at	IGFALS	insulin like growth factor binding protein acid labile subunit	-0.473	5.039
574_s_at	CASP1	caspase 1	1.43	8.139
583_s_at	VCAM1	vascular cell adhesion molecule 1	0.978	2.48
584_s_at	XRCC5	X-ray repair cross complementing 5	0.754	3.386
585_at	XRCC5	X-ray repair cross complementing 5	0.725	5.106
586_s_at	CYP17A1	cytochrome P450 family 17 subfamily A member 1	-0.658	3.119
587_at	S1PR1	sphingosine-1-phosphate receptor 1	0.359	2.804
589_at	SRD5A1	steroid 5 alpha-reductase 1	0.43	2.32
590_at	ICAM2	intercellular adhesion molecule 2	0.381	2.587
597_at	KITLG	KIT ligand	0.323	2.641
599_at	HLX	H2.0 like homeobox	0.316	1.879
601_s_at	KRT16	keratin 16	-0.35	2.32
608_at	APOE	apolipoprotein E	-1.047	2.718
609_f_at	MT1B	metallothionein 1B	-1.043	3.629
611_at	GIP	gastric inhibitory polypeptide	0.33	1.871
614_at	PLA2G2A	phospholipase A2 group IIA	0.548	3.309
615_s_at	PTHLH	parathyroid hormone like hormone	0.742	2.46
628_at	FZD2	frizzled class receptor 2	-0.297	2.035
629_at	IL9R	interleukin 9 receptor	-0.279	2.5
633_s_at	TFDP2	transcription factor Dp-2	-0.274	1.86
640_at	RNF185-AS1	RNF185 antisense RNA 1	-0.31	2.255
649_s_at	CXCR4	C-X-C motif chemokine receptor 4	2.529	7.734
650_s_at	CAMK2G	calcium/calmodulin dependent protein kinase II gamma	-0.196	2.116
651_at	RPA3	replication protein A3	-0.334	2.35
654_at	MXI1	MAX interactor 1, dimerization protein	-0.344	3.112
657_at	PCDHGA1///PCDHGA2///PCDHGA3///PCDHGA4///PCDHGA5///PCDHGA6///PCDHGA7///PCDHGA9///PCDHGA10///PCDHGA11///PCDHGB1///PCDHGB2///PCDHGB3///PCDHGB5///PCDHGB6///PCDHGB7///PCDHGC4///PCDHGC5///PCDHGA12///PCDHGA8///PCDHGB4///PCDHGC3	protocadherin gamma subfamily A, 1///protocadherin gamma subfamily A, 2///protocadherin gamma subfamily A, 3///protocadherin gamma subfamily A, 4///protocadherin gamma subfamily A, 5///protocadherin gamma subfamily A, 6///protocadherin gamma subfamily A, 7///protocadherin gamma subfamily A, 9///protocadherin gamma subfamily A, 10///protocadherin gamma subfamily A, 11///protocadherin gamma subfamily B, 1///protocadherin gamma subfamily B, 2///protocadherin gamma subfamily B, 3///protocadherin gamma subfamily B, 5///protocadherin gamma subfamily B, 6///protocadherin gamma subfamily B, 7///protocadherin gamma subfamily C, 4///protocadherin gamma subfamily C, 5///protocadherin gamma subfamily A, 12///protocadherin gamma subfamily A, 8///protocadherin gamma subfamily B, 4///protocadherin gamma subfamily C, 3	-0.201	2.083
662_at	DHX9	DEAH-box helicase 9	0.478	1.885
668_s_at	MMP7	matrix metallopeptidase 7	3.031	8.061
669_s_at	IRF1	interferon regulatory factor 1	0.495	1.961
673_at	MTHFD1	methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1	-0.459	3.083
675_at	IFITM1	interferon induced transmembrane protein 1	1.58	7.124
676_g_at	IFITM2///IFITM3///IFITM1	interferon induced transmembrane protein 2///interferon induced transmembrane protein 3///interferon induced transmembrane protein 1	1.16	5.995
677_s_at	ACP5	acid phosphatase 5, tartrate resistant	-0.475	3.249
679_at	CTSG	cathepsin G	-0.252	2.381
685_f_at	LOC101930571///TUBA3D///TUBA3E///TUBA3C	tubulin alpha-3E chain-like///tubulin alpha 3d///tubulin alpha 3e///tubulin alpha 3c	1.044	5.283
688_at	PSMC1	proteasome 26S subunit, ATPase 1	0.39	2.611
692_s_at	SOD3	superoxide dismutase 3, extracellular	-0.371	1.908
694_at	MUC5B	mucin 5B, oligomeric mucus/gel-forming	-0.542	2.754
696_at	HOXD8	homeobox D8	-0.746	3.861
697_f_at	CGB1///LHB	chorionic gonadotropin beta subunit 1///luteinizing hormone beta polypeptide	0.308	3.275
712_s_at	MIR6778///SHMT1	microRNA 6778///serine hydroxymethyltransferase 1	-0.693	3.116
714_at	CAP2	CAP, adenylate cyclase-associated protein, 2 (yeast)	-0.643	4.758
715_s_at	LOC102724197///LOC100132705///GGT2///GGTLC1///GGTLC2///GGT3P///GGT1	inactive gamma-glutamyltranspeptidase 2-like///immunoglobulin superfamily member 3-like///gamma-glutamyltransferase 2///gamma-glutamyltransferase light chain 1///gamma-glutamyltransferase light chain 2///gamma-glutamyltransferase 3 pseudogene///gamma-glutamyltransferase 1	-0.709	2.571
717_at	TRIB2	tribbles pseudokinase 2	0.518	2.263
719_g_at	HTRA1	HtrA serine peptidase 1	-0.469	2.365
720_at	HSF4	heat shock transcription factor 4	-0.246	2.308
721_g_at	HSF4	heat shock transcription factor 4	-0.433	2.234
722_at	CNOT9	CCR4-NOT transcription complex subunit 9	0.37	2.854
723_s_at	HNRNPC	heterogeneous nuclear ribonucleoprotein C (C1/C2)	0.581	2.551
725_i_at	CSHL1	chorionic somatomammotropin hormone like 1	-0.813	3.247
728_at	LAMA1	laminin subunit alpha 1	-0.234	2.515
730_r_at	MUC3A	mucin 3A, cell surface associated	-0.875	6.831
735_s_at	AKAP13	A-kinase anchoring protein 13	-0.8	4.234
736_f_at	POM121L1P	POM121 transmembrane nucleoporin like 1, pseudogene	-0.197	2.076
742_at	HABP2	hyaluronan binding protein 2	-0.495	4.369
744_at	DHX8	DEAH-box helicase 8	0.297	2.298
747_at	TTYH2	tweety family member 2	0.48	3.133
749_at	CAD	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase	0.309	2.979
756_at	ITPR2	inositol 1,4,5-trisphosphate receptor type 2	-0.431	2.699
758_at	PTGIR	prostaglandin I2 (prostacyclin) receptor (IP)	0.218	1.907
763_at	GMFB	glia maturation factor beta	0.432	2.331
765_s_at	LGALS4	galectin 4	-0.377	2.627
769_s_at	ANXA2P3///ANXA2P1///ANXA2	annexin A2 pseudogene 3///annexin A2 pseudogene 1///annexin A2	0.996	5.606
770_at	GPX3	glutathione peroxidase 3	-2.103	5.592
791_g_at	NGF	nerve growth factor	-0.504	3.799
792_s_at	TFAP2A	transcription factor AP-2 alpha	-0.234	2.265
797_at	MIR6756///MCAM	microRNA 6756///melanoma cell adhesion molecule	-0.593	2.16
809_at	RAB27A	RAB27A, member RAS oncogene family	1.296	4.495
811_at	UFD1L	ubiquitin fusion degradation 1 like (yeast)	0.381	2.761
