ID	Gene.symbol	Gene.title	log2(fold change)(TX vs Control)	-log10(Pvalue)(TX vs Control)
40559_at	FAM27B///FAM27C///FAM182B	family with sequence similarity 27 member B///family with sequence similarity 27 member C///family with sequence similarity 182 member B	-0.764	8.885
40560_at	TBX2	T-box 2	-0.472	5.728
40561_at	TLX2	T-cell leukemia homeobox 2	-0.686	6.332
40562_at	GNA11	G protein subunit alpha 11	0.595	3.965
40564_at	NUP50	nucleoporin 50	1.018	7.409
40565_at			-0.48	6.445
40566_at	PRKCA	protein kinase C alpha	-0.443	3.735
40567_at	TUBA1A	tubulin alpha 1a	1.89	5.54
40568_at	ATP6V1B2	ATPase H+ transporting V1 subunit B2	1.256	5.587
40570_at	FOXO1	forkhead box O1	-0.35	1.719
40571_at	MYO5A	myosin VA	0.436	1.959
40572_at	AAK1	AP2 associated kinase 1	-0.687	3.596
40573_s_at	LOC102723551	uncharacterized LOC102723551	-1.668	1.668
40574_at	MAP3K9	mitogen-activated protein kinase kinase kinase 9	-0.317	1.854
40576_f_at	HNRNPDL	heterogeneous nuclear ribonucleoprotein D like	1.241	7.988
40577_at	TSTD2///TMOD1	thiosulfate sulfurtransferase like domain containing 2///tropomodulin 1	0.225	1.672
40578_s_at	TMOD1	tropomodulin 1	-0.326	3.413
40580_r_at	PTMS	parathymosin	-0.459	3.861
40581_at	TRIO	trio Rho guanine nucleotide exchange factor	0.43	4.533
40585_at	ADCY7	adenylate cyclase 7	0.978	3.648
40586_at	EEF1E1	eukaryotic translation elongation factor 1 epsilon 1	-0.492	3.778
40587_s_at	EEF1E1	eukaryotic translation elongation factor 1 epsilon 1	0.972	5.345
40589_at	SNTB2	syntrophin beta 2	0.485	3.767
40590_at			-0.444	4.227
40591_at	CDC27	cell division cycle 27	0.455	2.434
40592_at	IDS	iduronate 2-sulfatase	0.535	2.134
40593_at	MIR4745///PTBP1	microRNA 4745///polypyrimidine tract binding protein 1	0.462	2.253
40594_r_at	ACVRL1	activin A receptor like type 1	-1.016	7.251
40597_g_at	TCOF1	treacle ribosome biogenesis factor 1	-1.18	10.465
40598_at	STARD5	StAR related lipid transfer domain containing 5	-0.494	5.53
40599_at	IL16	interleukin 16	-1.067	5.705
405_at	RXRA	retinoid X receptor alpha	-0.854	9.428
40600_at	DNAJC4	DnaJ heat shock protein family (Hsp40) member C4	-0.453	2.293
40601_at	TM2D1	TM2 domain containing 1	0.835	3.827
40602_at	SPRED2	sprouty related EVH1 domain containing 2	-0.438	2.443
40603_at	SPRED2	sprouty related EVH1 domain containing 2	-0.455	6.465
40605_at	SNX4	sorting nexin 4	0.924	5.063
40607_at	DPYSL2	dihydropyrimidinase like 2	1.522	7.716
40608_at	ATXN7L3B	ataxin 7 like 3B	-0.399	2.618
40609_at	CHD8	chromodomain helicase DNA binding protein 8	-0.215	1.623
40610_at	ZFR	zinc finger RNA binding protein	0.412	1.923
40611_s_at	ZFR	zinc finger RNA binding protein	-0.507	4.762
40612_at	DOPEY1	dopey family member 1	-0.562	3.491
40613_at	C6orf62	chromosome 6 open reading frame 62	1.268	4.847
40614_at	SHB	SH2 domain containing adaptor protein B	-0.546	2.914
40615_at	SPG11	spastic paraplegia 11 (autosomal recessive)	0.829	7.222
40617_at	THUMPD1	THUMP domain containing 1	0.94	4.23
40618_at	CDV3	CDV3 homolog	1.42	7.326
40620_at	PAWR	pro-apoptotic WT1 regulator	-0.724	8.013
40621_at	PAWR	pro-apoptotic WT1 regulator	0.729	5.104
40622_r_at	UBE3B	ubiquitin protein ligase E3B	-1.01	8.086
40623_at	UBE3B	ubiquitin protein ligase E3B	0.499	4.236
40624_at	OLIG2	oligodendrocyte lineage transcription factor 2	-0.364	1.908
40625_f_at	MTX1	metaxin 1	-0.437	2.123
40626_at			-0.242	2.172
40629_at	PIGH	phosphatidylinositol glycan anchor biosynthesis class H	0.919	9.021
40630_at			-0.541	6.403
40631_at	TOB1	transducer of ERBB2, 1	1.33	6.521
40632_at	SEPT5-GP1BB	SEPT5-GP1BB readthrough	-1.093	3.124
40634_at	NAP1L1	nucleosome assembly protein 1 like 1	0.415	2.834
40635_at	FLOT1	flotillin 1	-0.682	3.278
40637_at	SNORD14D///SNORD14C///HSPA8	small nucleolar RNA, C/D box 14D///small nucleolar RNA, C/D box 14C///heat shock protein family A (Hsp70) member 8	1.075	2.828
40638_at	SFPQ	splicing factor proline and glutamine rich	1.118	5.135
40639_at	SCO2	SCO2 cytochrome c oxidase assembly protein	-0.419	3.966
40640_at	NCAPH2	non-SMC condensin II complex subunit H2	-0.486	4.131
40641_at	BTAF1	B-TFIID TATA-box binding protein associated factor 1	0.332	2.944
40645_at	GSK3B	glycogen synthase kinase 3 beta	0.486	3.504
40646_at	CX3CR1	C-X3-C motif chemokine receptor 1	0.633	2.096
40647_at	XK	X-linked Kx blood group	0.293	2.648
40648_at	MERTK	MER proto-oncogene, tyrosine kinase	-0.214	1.529
40650_r_at	CRHR1	corticotropin releasing hormone receptor 1	-0.965	9.789
40651_s_at	CRHR1	corticotropin releasing hormone receptor 1	-0.547	5.88
40654_at	PEX7	peroxisomal biogenesis factor 7	0.966	6.283
40655_at	KALRN	kalirin, RhoGEF kinase	-0.588	1.915
40656_at	HSPA1L	heat shock protein family A (Hsp70) member 1 like	-0.274	1.745
40659_at	NR4A3	nuclear receptor subfamily 4 group A member 3	-2.81	7.604
40661_at	NR4A3	nuclear receptor subfamily 4 group A member 3	-0.507	3.187
40662_g_at	NR4A3	nuclear receptor subfamily 4 group A member 3	-0.387	3.033
40665_at	FMO3	flavin containing monooxygenase 3	1.24	5.178
40666_at	ENTPD5	ectonucleoside triphosphate diphosphohydrolase 5	0.884	6.579
40667_at	CD6	CD6 molecule	-0.347	4.662
40668_s_at	CD6	CD6 molecule	-0.528	5.404
40671_g_at	KYNU	kynureninase	-0.295	1.526
40673_at	ACADSB	acyl-CoA dehydrogenase, short/branched chain	1.546	5.817
40678_at	ST8SIA1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1	-0.735	7.255
40679_at	SLC6A12	solute carrier family 6 member 12	0.332	1.943
40681_at	ITGBL1	integrin subunit beta like 1	-1.426	1.659
40682_at	GYS2	glycogen synthase 2	-1.438	1.763
40683_at	GRB14	growth factor receptor bound protein 14	0.779	4.403
40684_at	GCHFR	GTP cyclohydrolase I feedback regulator	0.771	7.832
40686_at	NMB	neuromedin B	-0.208	1.597
40687_at	GJA4	gap junction protein alpha 4	0.215	1.95
40690_at	CKS2	CDC28 protein kinase regulatory subunit 2	-0.506	2.149
40693_at	KCNB1	potassium voltage-gated channel subfamily B member 1	-0.728	3.096
40697_at	CCNA2	cyclin A2	-0.375	4.713
406_at	ITGB4	integrin subunit beta 4	-1.206	5.165
40700_at	SP140	SP140 nuclear body protein	-0.701	3.127
40701_at	USP13	ubiquitin specific peptidase 13 (isopeptidase T-3)	-1.067	6.907
40703_at	RBP3	retinol binding protein 3	-0.397	5.041
40704_at	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha	-0.339	1.607
40706_at			-0.553	5.61
40710_at	CLGN	calmegin	-0.328	1.8
40713_at	NFAT5	nuclear factor of activated T-cells 5	0.385	2.395
40717_at	CTSV	cathepsin V	-0.663	2.944
40719_at	TRAF3IP3	TRAF3 interacting protein 3	-2.048	5.6
40722_at	EFCAB11	EF-hand calcium binding domain 11	-1.019	5.434
40725_at	GOSR1	golgi SNAP receptor complex member 1	1.124	7.82
40726_at	KIF11	kinesin family member 11	-0.787	5.137
40727_at	ANAPC10	anaphase promoting complex subunit 10	0.744	5.061
40728_at	ALOX12P2	arachidonate 12-lipoxygenase pseudogene 2	-0.496	6.876
40729_s_at	LTB	lymphotoxin beta	-0.798	4.475
40730_at	PNOC	prepronociceptin	-0.479	5.045
40731_at	CBX5	chromobox 5	-0.382	3.209
40732_at	NPAT	nuclear protein, coactivator of histone transcription	0.339	1.963
40733_f_at	MSX2	msh homeobox 2	-0.384	1.512
40734_r_at	MSX2	msh homeobox 2	-0.461	1.833
40735_at	HAL	histidine ammonia-lyase	-0.564	3.954
40737_at	KCNMA1	potassium calcium-activated channel subfamily M alpha 1	-0.323	3.112
40741_at	CETP	cholesteryl ester transfer protein	-0.698	3.807
40742_at	HCK	HCK proto-oncogene, Src family tyrosine kinase	-0.907	3.304
40743_at	AMPD1	adenosine monophosphate deaminase 1	-0.342	2.17
40744_at	RAD52	RAD52 homolog, DNA repair protein	-0.344	3.115
40745_at	AP1B1	adaptor related protein complex 1 beta 1 subunit	-1.126	5.32
40748_at	CPA2	carboxypeptidase A2	-0.354	3.138
40750_at	PDE4A	phosphodiesterase 4A	-0.352	2.29
40751_at	IZUMO4	IZUMO family member 4	-0.596	4.86
40752_at	IZUMO4	IZUMO family member 4	-0.238	2.939
40754_at	GTF2H3	general transcription factor IIH subunit 3	-0.449	1.782
40758_at	MRPL58	mitochondrial ribosomal protein L58	0.521	3.93
40759_at	MMP16	matrix metallopeptidase 16	-0.907	7.538
40762_g_at	SLC16A5	solute carrier family 16 member 5	-1.052	8.386
40764_at	GOT2	glutamic-oxaloacetic transaminase 2	1.517	8.406
40765_at	LOC102724985///PDXDC1	pyridoxal-dependent decarboxylase domain-containing protein 1///pyridoxal dependent decarboxylase domain containing 1	0.512	5.3
40767_at	TFPI	tissue factor pathway inhibitor	1.37	6.425
40769_r_at	NUP214	nucleoporin 214	-0.479	4.323
40770_f_at	HNRNPDL	heterogeneous nuclear ribonucleoprotein D like	1.449	8.998
40771_at	MSN	moesin	1.187	7.882
40772_at	MFSD7	major facilitator superfamily domain containing 7	-0.74	7.001
40774_at	LOC101927137///CCT3	uncharacterized LOC101927137///chaperonin containing TCP1 subunit 3	0.959	4.141
40775_at	ITM2A	integral membrane protein 2A	1.888	5.383
40778_at	HSD17B10	hydroxysteroid 17-beta dehydrogenase 10	0.387	3.257
40779_at	KIFAP3	kinesin associated protein 3	0.978	5.161
40780_at	CTBP2	C-terminal binding protein 2	1.13	10.111
40784_at	PPP2R5C	protein phosphatase 2 regulatory subunit B'gamma	0.392	2.165
40785_g_at	PPP2R5C	protein phosphatase 2 regulatory subunit B'gamma	0.333	3.85
40786_at	PPP2R5C	protein phosphatase 2 regulatory subunit B'gamma	1.461	10.348
40787_at	WIPF2	WAS/WASL interacting protein family member 2	0.265	1.532
40788_at	AK2	adenylate kinase 2	0.466	3.189
40790_at	BHLHE40	basic helix-loop-helix family member e40	0.917	2.838
40791_at	POLR2A	RNA polymerase II subunit A	-0.742	8.449
40793_s_at	AQP4	aquaporin 4	-0.557	3.265
40794_at	KLK3	kallikrein related peptidase 3	-0.948	6.605
40799_at	HN1L	hematological and neurological expressed 1 like	-0.63	5.15
40801_at	GAPVD1	GTPase activating protein and VPS9 domains 1	0.932	5.586
40803_at	TMEM123	transmembrane protein 123	1.899	7.875
40805_at	SIPA1L1	signal induced proliferation associated 1 like 1	0.954	4.566
40806_at	MGAT2	mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	0.694	3.704
40808_at	CHGA	chromogranin A	-0.474	3.496
40809_at	SNTB2	syntrophin beta 2	-0.851	5.159
40811_at	ZNF451	zinc finger protein 451	-0.364	1.887
40813_at	SLC5A3	solute carrier family 5 member 3	1.402	5.892
40815_g_at	IDS	iduronate 2-sulfatase	-0.404	4.334
40816_at	PWP1	PWP1 homolog, endonuclein	0.728	7.569
40817_at	NUCB1	nucleobindin 1	0.359	2.65
40818_at	RBPJ	recombination signal binding protein for immunoglobulin kappa J region	0.818	2.65
40819_at	RBM8A	RNA binding motif protein 8A	-0.446	3.97
40821_at	AHCY	adenosylhomocysteinase	0.721	3.513
40822_at	NFATC3	nuclear factor of activated T-cells 3	0.567	2.56
40824_at	XPO7	exportin 7	0.813	9.027
40826_at	MARK3	microtubule affinity regulating kinase 3	0.626	5.332
40827_at	IARS	isoleucyl-tRNA synthetase	0.966	3.567
40828_at	ARHGEF7	Rho guanine nucleotide exchange factor 7	0.649	6.924
40829_at	WDTC1	WD and tetratricopeptide repeats 1	-0.775	7.612
40830_at	DNAJC4	DnaJ heat shock protein family (Hsp40) member C4	-0.803	7.25
40831_at	KIF1BP	KIF1 binding protein	0.703	6.476
40832_s_at	TOR1AIP1	torsin 1A interacting protein 1	1.386	6.499
40835_at	TUT1	terminal uridylyl transferase 1, U6 snRNA-specific	-0.409	3.08
40836_s_at	EML3	echinoderm microtubule associated protein like 3	-0.545	4.38
40837_at	TLE2	transducin like enhancer of split 2	-0.518	3.585
40838_at	ZNF292	zinc finger protein 292	0.893	4.251
40839_at	UBL3	ubiquitin like 3	-0.47	7.012
40842_at	SNRPA	small nuclear ribonucleoprotein polypeptide A	0.511	3.457
40844_at	CTR9	CTR9 homolog, Paf1/RNA polymerase II complex component	1.138	7.937
40847_at	MICAL2	microtubule associated monooxygenase, calponin and LIM domain containing 2	-0.213	1.571
40849_s_at	CREB3	cAMP responsive element binding protein 3	-0.282	2.696
40851_r_at	SEC23B	Sec23 homolog B, coat complex II component	0.96	5.869
40855_at	SAMD4A	sterile alpha motif domain containing 4A	0.354	3.489
40857_f_at	PSG11///PSG3	pregnancy specific beta-1-glycoprotein 11///pregnancy specific beta-1-glycoprotein 3	-0.681	5.979
40859_at	ZC3H14	zinc finger CCCH-type containing 14	1.14	5.535
40860_s_at	ZC3H14	zinc finger CCCH-type containing 14	-0.5	1.933
40861_at	MORF4L2	mortality factor 4 like 2	1.609	8.528
40865_at	TDG	thymine DNA glycosylase	0.413	3.167
40867_at	PPP2R1A	protein phosphatase 2 scaffold subunit Aalpha	0.709	7.328
40868_at	THUMPD1	THUMP domain containing 1	0.884	4.395
40874_at	CDV3	CDV3 homolog	0.684	5.258
40875_s_at	SNRNP70	small nuclear ribonucleoprotein U1 subunit 70	0.633	3.779
40876_at	GYG1	glycogenin 1	1.099	6.044
40878_f_at	HERC2P2	hect domain and RLD 2 pseudogene 2	0.739	2.467
40879_at	BICD2	BICD cargo adaptor 2	0.387	2.396
40881_at	ACLY	ATP citrate lyase	0.589	3.486
40883_at	STX16	syntaxin 16	-0.721	3.804
40884_g_at	STX16	syntaxin 16	-0.792	5.868
40888_f_at			-1.524	5.745
40889_at	LOC100510710///GBAP1///GBA	glucosylceramidase-like///glucosylceramidase beta pseudogene 1///glucosylceramidase beta	-0.665	2.97
40890_at	MTX1	metaxin 1	-0.358	3.351
40891_f_at	LAGE3	L antigen family member 3	-0.636	3.33
40892_s_at			-0.761	4.51
40893_at	SUCLA2	succinate-CoA ligase ADP-forming beta subunit	0.894	3.692
40897_at	PDE6A	phosphodiesterase 6A	-0.315	2.752
408_at	CXCL1	C-X-C motif chemokine ligand 1	-0.757	2.225
40900_at	MYH10	myosin, heavy chain 10, non-muscle	0.885	2.783
40901_at	STRN3	striatin 3	1.106	5.551
40905_s_at	PRPF31	pre-mRNA processing factor 31	-0.161	1.543
40906_at	ZNF688	zinc finger protein 688	-0.312	4.613
40907_at			-0.702	6.87
40909_at	RABL3	RAB, member of RAS oncogene family like 3	-0.451	2.564
40910_at	CAPZA1	capping actin protein of muscle Z-line alpha subunit 1	1.524	6.458
40911_at			-0.718	9.306
40912_s_at	BPHL	biphenyl hydrolase like	0.554	3.112
40914_s_at	ATP2B4	ATPase plasma membrane Ca2+ transporting 4	-0.238	1.744
40916_at	BEX4	brain expressed X-linked 4	0.531	3.687
40917_at	CAMSAP1	calmodulin regulated spectrin associated protein 1	-0.7	2.812
40918_at			-0.417	2.449
40919_at	SSTR2	somatostatin receptor 2	-0.402	2.042
40921_at	CDC14BL	CDC14 cell division cycle 14 C-like	-0.607	6.005
40923_at	SLC36A1	solute carrier family 36 member 1	-0.507	2.124
40924_at	RNFT2	ring finger protein, transmembrane 2	-0.638	2.592
40925_at			-0.689	8.934
40926_at	SLC6A10PB///SLC6A10P///SLC6A8	solute carrier family 6 member 8 pseudogene///solute carrier family 6 member 10, pseudogene///solute carrier family 6 member 8	0.453	2.81
40927_at	SLC6A8	solute carrier family 6 member 8	-0.412	3.173
40928_at	WSB1	WD repeat and SOCS box containing 1	1.387	4.141
40929_at	WSB1	WD repeat and SOCS box containing 1	-0.467	2.978
40931_at	TMED5	transmembrane p24 trafficking protein 5	1.737	5.974
40933_f_at	ZDHHC18	zinc finger DHHC-type containing 18	-0.808	4.058
40934_at	MFSD5	major facilitator superfamily domain containing 5	-0.844	3.71
40936_at	LOC101929500///CRIM1	uncharacterized LOC101929500///cysteine rich transmembrane BMP regulator 1	0.821	4.106
40937_at	SCAPER	S-phase cyclin A associated protein in the ER	0.342	3.013
40939_at	RCE1	Ras converting CAAX endopeptidase 1	-0.3	2.211
40940_at	VAPB	VAMP associated protein B and C	-0.594	3.018
40945_at	KLF11	Kruppel like factor 11	-0.5	3.912
40947_at	ISG20L2	interferon stimulated exonuclease gene 20 like 2	-0.652	7.44
40949_at	DYNC1LI2	dynein cytoplasmic 1 light intermediate chain 2	0.394	3.039
40951_at	NPIPA5///NPIPB5///LOC613037///NPIPB4///NPIPB3	nuclear pore complex interacting protein family member A5///nuclear pore complex interacting protein family member B5///nuclear pore complex interacting protein member///nuclear pore complex interacting protein family member B4///nuclear pore complex interacting protein family member B3	0.574	3.446
40952_at	SNX29P2	sorting nexin 29 pseudogene 2	-0.347	2.358
40953_at	CNN3	calponin 3	0.909	1.505
40955_at	PTOV1	prostate tumor overexpressed 1	-0.304	2.015
40956_at	NPRL3	NPR3 like, GATOR1 complex subunit	0.278	1.831
40957_at	SUZ12	SUZ12 polycomb repressive complex 2 subunit	0.809	4.869
40958_at	SPTB	spectrin beta, erythrocytic	-0.572	8.493
40959_at	PLEKHG3	pleckstrin homology and RhoGEF domain containing G3	-0.674	10.864
40962_s_at	SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	1.026	6.384
40963_at	ABCA4	ATP binding cassette subfamily A member 4	-0.754	8.455
40964_at	HK2	hexokinase 2	-0.673	5.537
40965_at	CLCN4	chloride voltage-gated channel 4	-0.441	2.393
40967_at	STK39	serine/threonine kinase 39	-0.404	3.918
40968_at	SOCS3	suppressor of cytokine signaling 3	-0.649	5.085
40969_at	SOCS3	suppressor of cytokine signaling 3	-0.341	2.391
40970_at	RFXAP	regulatory factor X associated protein	-0.583	5.637
40972_at	AKT2	AKT serine/threonine kinase 2	-0.343	1.846
40973_at	PARD3	par-3 family cell polarity regulator	1.065	10.153
40974_at	SRRD	SRR1 domain containing	-0.406	5.405
40975_s_at	TFIP11	tuftelin interacting protein 11	-0.905	5.216
40976_at	KATNB1	katanin regulatory subunit B1	-1.916	6.14
40979_at	AHSA1	activator of Hsp90 ATPase activity 1	0.636	6.044
40980_at	CHD8	chromodomain helicase DNA binding protein 8	0.669	7.425
40981_at	CHD8	chromodomain helicase DNA binding protein 8	-0.584	2.668
40984_at	TUBGCP4	tubulin gamma complex associated protein 4	-0.337	2.217
40985_g_at	TUBGCP4	tubulin gamma complex associated protein 4	-1.392	1.823
40987_at	VDR	vitamin D (1,25- dihydroxyvitamin D3) receptor	-0.553	3.159
40988_at	YME1L1	YME1 like 1 ATPase	1.162	5.93
40989_at			-0.463	2.638
40994_at	GRK5	G protein-coupled receptor kinase 5	0.313	1.996
40995_at	NEFL	neurofilament, light polypeptide	0.819	2.628
40996_s_at	NEFL	neurofilament, light polypeptide	-0.61	4.696
40999_at	MED12	mediator complex subunit 12	-0.695	5.95
409_at	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta	1.014	4.004
41000_at	FOXN3	forkhead box N3	0.822	4.606
41001_at	RPH3A	rabphilin 3A	-0.426	4.57
41003_at	PFDN4	prefoldin subunit 4	-0.678	3.013
41004_at	TOP3A	topoisomerase (DNA) III alpha	-0.315	3.268
41005_at	ITGA8	integrin subunit alpha 8	0.216	2.283
41008_at	FAM169A	family with sequence similarity 169 member A	1.157	7.468
41010_at	HOMER1	homer scaffolding protein 1	0.754	3.069
41013_at	VSTM4	V-set and transmembrane domain containing 4	0.426	2.048
41016_at	TNR	tenascin R	-0.6	5.221
41017_at	MYBPH	myosin binding protein H	-0.534	5.42
41019_at	PDCL	phosducin like	-0.429	3.501
41020_at	PCSK2	proprotein convertase subtilisin/kexin type 2	-0.751	5.517
41023_at	C8A	complement component 8 alpha subunit	-0.44	1.654
41024_f_at	GYPE	glycophorin E (MNS blood group)	-0.359	2.576
41027_at	FOXC1	forkhead box C1	0.655	2.543
41029_at	SNRNP35	small nuclear ribonucleoprotein U11/U12 subunit 35	-0.424	1.518
41030_at	FOXJ1	forkhead box J1	-0.31	2.011
41031_at	OMD	osteomodulin	-0.316	1.553
41033_at	ZNF84	zinc finger protein 84	0.427	3.437
41035_at	TBKBP1	TBK1 binding protein 1	-0.369	3.265
41041_s_at	MYO7A	myosin VIIA	-0.731	3.653
41042_r_at	MYO7A	myosin VIIA	-1.145	9.928
41043_at	SOX15	SRY-box 15	-0.583	7.651
41047_at	C9orf16	chromosome 9 open reading frame 16	0.397	3.898
41049_at	IRS1	insulin receptor substrate 1	0.6	4.564
41051_at	TSNAX	translin associated factor X	0.781	6.425
41052_s_at	LOC100507353///CACNA1A	uncharacterized LOC100507353///calcium voltage-gated channel subunit alpha1 A	-0.705	8.298
41055_at	NACAD	NAC alpha domain containing	-0.454	6.425
41057_at	ACOT13	acyl-CoA thioesterase 13	0.442	1.574
41058_g_at	ACOT13	acyl-CoA thioesterase 13	1.195	4.923
41059_at	CD300A	CD300a molecule	-0.716	5.893
41061_at	HIP1	huntingtin interacting protein 1	-0.321	1.93
41062_at	PCGF1	polycomb group ring finger 1	0.295	2.521
41063_g_at	PCGF1	polycomb group ring finger 1	-0.352	2.462
41064_at	PCGF1	polycomb group ring finger 1	-0.714	5.258
41069_at	LECT1	leukocyte cell derived chemotaxin 1	-0.335	2.539
41070_r_at	MTERF1	mitochondrial transcription termination factor 1	0.992	4.124
41072_at	CAV3	caveolin 3	-0.712	1.723
41074_at	LGR5	leucine rich repeat containing G protein-coupled receptor 5	-0.661	4.156
41075_at	AKAP3	A-kinase anchoring protein 3	-0.515	4.487
41076_at	GJB3	gap junction protein beta 3	-0.86	9.973
41078_at	ZC3H3	zinc finger CCCH-type containing 3	-0.157	1.746
41079_at	ASIC3	acid sensing ion channel subunit 3	-0.309	2.636
41080_at	H2AFB1///H2AFB2///H2AFB3	H2A histone family member B1///H2A histone family member B2///H2A histone family member B3	-0.237	1.693
41081_at	BUB1	BUB1 mitotic checkpoint serine/threonine kinase	-0.541	2.683
41084_at	ZNF428	zinc finger protein 428	0.452	2.161
41085_at	POLE2	DNA polymerase epsilon 2, accessory subunit	-0.457	1.812
41086_at	RGS20	regulator of G-protein signaling 20	-0.468	3.622
